[2025-04-14T05:49:49.102+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-14T05:49:49.117+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_ingestion_gcs_dag.fetch_permits_task manual__2025-04-14T05:31:45.696988+00:00 [queued]>
[2025-04-14T05:49:49.123+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_ingestion_gcs_dag.fetch_permits_task manual__2025-04-14T05:31:45.696988+00:00 [queued]>
[2025-04-14T05:49:49.123+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2025-04-14T05:49:49.129+0000] {taskinstance.py:2890} INFO - Executing <Task(BranchPythonOperator): fetch_permits_task> on 2025-04-14 05:31:45.696988+00:00
[2025-04-14T05:49:49.133+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=377) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-14T05:49:49.134+0000] {standard_task_runner.py:72} INFO - Started process 379 to run task
[2025-04-14T05:49:49.135+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'data_ingestion_gcs_dag', 'fetch_permits_task', 'manual__2025-04-14T05:31:45.696988+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_gcs_dag.py', '--cfg-path', '/tmp/tmpghwsmkd3']
[2025-04-14T05:49:49.135+0000] {standard_task_runner.py:105} INFO - Job 11: Subtask fetch_permits_task
[2025-04-14T05:49:49.160+0000] {task_command.py:467} INFO - Running <TaskInstance: data_ingestion_gcs_dag.fetch_permits_task manual__2025-04-14T05:31:45.696988+00:00 [running]> on host 51652b031d9f
[2025-04-14T05:49:49.205+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_ingestion_gcs_dag' AIRFLOW_CTX_TASK_ID='fetch_permits_task' AIRFLOW_CTX_EXECUTION_DATE='2025-04-14T05:31:45.696988+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-14T05:31:45.696988+00:00'
[2025-04-14T05:49:49.206+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-04-14T05:49:49.206+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-04-14T05:49:49.207+0000] {logging_mixin.py:190} INFO - Current task name:fetch_permits_task state:running start_date:2025-04-14 05:49:49.118072+00:00
[2025-04-14T05:49:49.207+0000] {logging_mixin.py:190} INFO - Dag name:data_ingestion_gcs_dag and current dag run status:running
[2025-04-14T05:49:49.207+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-04-14T05:49:49.207+0000] {baseoperator.py:423} WARNING - BranchPythonOperator.execute cannot be called outside TaskInstance!
[2025-04-14T05:49:49.217+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-04-29 (offset=0)
[2025-04-14T05:49:50.068+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-04-30 (offset=0)
[2025-04-14T05:49:50.391+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-05-01 (offset=0)
[2025-04-14T05:49:50.719+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-05-02 (offset=0)
[2025-04-14T05:49:51.032+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-05-03 (offset=0)
[2025-04-14T05:49:51.304+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-05-04 (offset=0)
[2025-04-14T05:49:51.666+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-05-05 (offset=0)
[2025-04-14T05:49:52.029+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-05-06 (offset=0)
[2025-04-14T05:49:52.796+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-05-07 (offset=0)
[2025-04-14T05:49:53.158+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-05-08 (offset=0)
[2025-04-14T05:49:53.509+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-05-09 (offset=0)
